city,idx,today_o3_average,tomorrow_o3_average
Yerres,,,
Wittenheim,3823.0,26.0,28.0
Wattrelos,6251.0,21.0,23.0
Wasquehal,8613.0,23.0,27.0
Voiron,3074.0,20.0,27.0
Vitry-sur-Seine,5722.0,26.0,29.0
Vitry-le-François,,,
Vitrolles,5052.0,18.0,34.0
Vitré,,,
Viry-Châtillon,,,
Viroflay,,,
Vincennes,5722.0,26.0,29.0
Villiers-sur-Marne,3102.0,28.0,31.0
Villiers-le-Bel,3105.0,28.0,31.0
Villeurbanne,7744.0,27.0,19.0
Villers-lès-Nancy,6364.0,34.0,33.0
Villepinte,3101.0,29.0,32.0
Villeparisis,3101.0,29.0,32.0
Villeneuve-sur-Lot,,,
Villeneuve-Saint-Georges,3103.0,26.0,29.0
Villeneuve-le-Roi,3103.0,26.0,29.0
Villeneuve-la-Garenne,3085.0,25.0,28.0
Villenave-d’Ornon,5055.0,24.0,33.0
Villemomble,3102.0,28.0,31.0
Villejuif,5722.0,26.0,29.0
Villefranche-sur-Saône,10052.0,25.0,25.0
Villefontaine,,,
Vigneux-sur-Seine,3103.0,26.0,29.0
Vierzon,6577.0,,
Vienne,3073.0,,
Vichy,12678.0,29.0,25.0
Vesoul,6390.0,34.0,34.0
Vertou,4995.0,27.0,32.0
Versailles,,,
Verrières-le-Buisson,6937.0,25.0,28.0
Vernon,4199.0,13.0,11.0
Verneuil-sur-Seine,,,
Verdun,6372.0,34.0,32.0
Vénissieux,3032.0,27.0,19.0
Vendôme,,,
Vence,10552.0,,
Vélizy-Villacoublay,6937.0,25.0,28.0
Vauréal,3104.0,29.0,32.0
Vaulx-en-Velin,3026.0,27.0,19.0
Vanves,5722.0,26.0,29.0
Vannes,5019.0,35.0,33.0
Vandœuvre-lès-Nancy,6365.0,34.0,32.0
Vallauris,6892.0,35.0,37.0
Valenciennes,6266.0,24.0,29.0
Valence,3055.0,20.0,24.0
Tulle,10077.0,28.0,33.0
Troyes,6810.0,34.0,32.0
Tremblay-en-France,3101.0,29.0,32.0
Trappes,,,
Tours,6584.0,33.0,32.0
Tournefeuille,3830.0,22.0,35.0
Tourlaville,4602.0,27.0,35.0
Tourcoing,6251.0,21.0,23.0
Toulouse,3828.0,33.0,16.0
Toulon,6889.0,38.0,41.0
Toul,,,
Torcy,3093.0,29.0,32.0
Thonon-les-Bains,,,
Thionville,6369.0,32.0,31.0
Thiais,3103.0,26.0,29.0
Tergnier,5173.0,,
Taverny,,,
Tassin-la-Demi-Lune,3023.0,27.0,19.0
Tarbes,3837.0,23.0,27.0
Talence,5055.0,24.0,33.0
Suresnes,6937.0,25.0,28.0
Sucy-en-Brie,3102.0,28.0,31.0
Strasbourg,3821.0,28.0,29.0
Stains,3098.0,26.0,29.0
Sotteville-lès-Rouen,10946.0,30.0,33.0
Sorgues,6880.0,19.0,25.0
Soisy-sous-Montmorency,3085.0,25.0,28.0
Soissons,,,
Six-Fours-les-Plages,,,
Sin-le-Noble,6256.0,24.0,28.0
Seynod,3056.0,22.0,25.0
Sèvres,6937.0,25.0,28.0
Sevran,3101.0,29.0,32.0
Sète,,,
Sens,11944.0,33.0,32.0
Senlis,,,
Sélestat,,,
Sedan,,,
Schiltigheim,3821.0,28.0,29.0
Sceaux,6937.0,25.0,28.0
Savigny-sur-Orge,,,
Savigny-le-Temple,3095.0,32.0,32.0
Saumur,,,
